date,price
2026-03-10 23:14:27.900486,51.77
2026-03-10 23:16:53.459922,51.77
2026-03-10 23:17:25.713714,51.77
2026-03-10 23:18:17.891901,51.77
2026-03-10 23:22:42.650987,51.77
2026-03-10 23:23:16.438769,51.77
2026-03-10 23:23:26.832518,51.77
2026-03-10 23:23:36.027917,51.77
2026-03-10 23:23:48.618649,51.77
2026-03-10 23:23:57.078524,51.77
2026-03-10 23:24:06.792510,51.77
2026-03-10 23:28:23.627172,51.77
2026-03-10 23:28:42.841615,51.77
2026-03-10 23:28:48.725169,51.77
2026-03-10 23:30:43.222711,51.77
2026-03-10 23:31:02.059856,51.77
2026-03-10 23:32:55.271888,51.77
2026-03-10 23:33:06.888780,51.77
2026-03-10 23:47:53.807678,51.77
2026-03-10 23:49:49.406142,51.77
2026-03-10 23:50:53.860326,51.77
2026-03-10 23:54:58.299667,51.77
2026-03-10 23:56:25.339150,51.77
2026-03-10 23:57:06.919941,51.77
2026-03-10 23:57:44.545853,51.77
